Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-05-13 04:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 12:00:00,5.572289156626506,9923.0573044,10537.747927,238.31049560000002,-0.7694269560000067,3.789792824658919,-2.507897857742747,14.396971267122355,-2.5191016657751697,-0.1741962119122866,-0.22325658126878542,-0.25243751901110906,-0.8545486269297408,0.022460771569325823,-9.934727086397888,-3.890211770057181,78 days 20:00:00,20 days 11:00:00,6,33.33333333333333,5.000000000000004,-2.0186844613917954,0.27636496999254856,2 days 16:00:00,0 days 21:00:00,1.2467860447390946,0.32989627715253234,0.18623944302311624,0.05563875450517297,RSI7LongStrategy_26p,ADAUSDT_f4h
2025-05-13 04:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 12:00:00,38.855421686746986,7927.361195999996,11256.581040000001,1911.5142440000002,-20.72638804000004,3.789792824658919,-53.40858400285252,22.133098949480377,-53.569321364538695,-2.413063987323221,-1.587763272877915,-1.8058226318194328,-21.929467259645595,0.3174525034238076,-29.575764010135043,-7.644814365502682,58 days 08:00:00,13 days 10:00:00,52,44.230769230769226,13.113496932515334,-5.010514665190923,-0.009373644696397676,0 days 20:00:00,0 days 16:00:00,1.0398777219747237,0.0557186155237131,0.000355292611686224,5.5810225640329225e-05,PsarStrategy_4p,ADAUSDT_f4h
2025-05-13 04:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 12:00:00,52.86144578313253,9153.953680000006,12571.829260000008,2023.4293600000003,-8.460463199999941,3.789792824658919,-25.224664131451846,42.58787337033559,-25.32295174473893,-0.5922968708041191,-0.730935684596478,-0.9278283049772656,-10.211090832420528,0.4619322779413786,-27.18678013608339,-9.321951975712066,46 days 04:00:00,10 days 15:00:00,52,32.69230769230769,22.534692373818,-5.010514665190923,0.2687865053578431,1 days 16:00:00,0 days 23:00:00,1.2527823300773304,0.38569426871769175,0.38482460457695605,0.047729866872293025,PsarStrategy_9p,ADAUSDT_f4h
2025-05-13 04:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 12:00:00,55.72289156626506,8198.620561000005,12154.372356999998,1997.5802990000002,-18.013794389999948,3.789792824658919,-47.95789658845079,28.22754077117857,-48.11146859493998,-1.6989753722158356,-1.3339814869350604,-1.4735457699442873,-19.934511041130722,0.5068131003450401,-32.54591582198631,-9.362261931851084,46 days,11 days 21:00:00,52,32.69230769230769,13.606778828441612,-5.010514665190923,0.05438965074742175,2 days 08:00:00,1 days 01:00:00,1.092238979832594,0.14073786669707072,0.12389640343724068,0.01463375085405616,PsarStrategy_26p,ADAUSDT_f4h
2025-05-13 00:00:00+00:00,2025-08-31 00:00:00+00:00,110 days,38.73873873873874,7135.305759199999,10496.152060000002,509.6630008000001,-28.646942408000015,-2.241233883600433,-67.04067338762239,13.54266051880913,-67.37155964589417,-4.950332565341274,-2.292003471169393,-2.0033728219437372,-28.183614237681656,0.20672905835871264,-33.4639028009661,-33.4639028009661,101 days,101 days,16,18.75,7.3960302457466875,-5.01378809869375,-1.5793181145765,5 days,2 days,0.4011817033578996,-1.5127433397584815,-1.8809940441992543,-0.35934385198188357,ADXReversalStrategy_4p,ADAUSDT_f1d
2025-05-13 00:00:00+00:00,2025-08-31 00:00:00+00:00,110 days,42.34234234234234,7234.512410799998,10496.152060000002,472.7009891999999,-27.65487589200002,-2.241233883600433,-65.50968697092904,16.22685750120145,-65.84184674882648,-4.037114824363167,-1.9656031542604437,-1.796644582047199,-27.008623424014203,0.2883467328932421,-36.462240570855464,-36.462240570855464,101 days,101 days,15,13.333333333333334,12.435233160621761,-5.01378809869375,-1.7516745885906793,10 days,3 days,0.41265161393206934,-1.6554290161944385,-1.7250566280640776,-0.2565001917218134,ADXReversalStrategy_9p,ADAUSDT_f1d
2025-05-13 00:00:00+00:00,2025-08-31 00:00:00+00:00,110 days,32.432432432432435,7115.785250799998,10496.152060000002,443.5907891999999,-28.84214749200002,-2.241233883600433,-67.33624779901331,15.385802726290452,-67.66681471031984,-4.376518339465815,-2.014377523198201,-1.8467391675550422,-28.19307067294344,0.2896069097500306,-36.462240570855464,-36.462240570855464,101 days,101 days,14,14.285714285714285,12.435233160621761,-5.01378809869375,-1.7095648999557178,8 days,2 days,0.43682225973332495,-1.6065796980155096,-1.5915704686437024,-0.2541739318985426,ADXReversalStrategy_26p,ADAUSDT_f1d
2025-05-13 00:00:00+00:00,2025-08-31 00:00:00+00:00,110 days,1.8018018018018018,9525.8826448,10000.0,77.91495520000001,-4.741173552,-2.241233883600433,-14.76179321881217,5.251654152234829,-14.885469606603785,-2.810884492942157,-2.3882310722998663,-3.113531503731836,-4.730313098414098,0.004845747543516129,-4.741173551999999,-4.741173551999999,105 days,105 days,2,0.0,-2.0128998288798106,-2.014209076410034,-2.013554454831612,0 days,0 days,0.0,-2.0135544526449225,-89.07428057557617,,RSI7LongStrategy_4p,ADAUSDT_f1d
2025-05-13 00:00:00+00:00,2025-08-31 00:00:00+00:00,110 days,1.8018018018018018,9525.8826448,10000.0,77.91495520000001,-4.741173552,-2.241233883600433,-14.76179321881217,5.251654152234829,-14.885469606603785,-2.810884492942157,-2.3882310722998663,-3.113531503731836,-4.730313098414098,0.004845747543516129,-4.741173551999999,-4.741173551999999,105 days,105 days,2,0.0,-2.0128998288798106,-2.014209076410034,-2.013554454831612,0 days,0 days,0.0,-2.0135544526449225,-89.07428057557617,,RSI7LongStrategy_9p,ADAUSDT_f1d
2025-05-13 00:00:00+00:00,2025-08-31 00:00:00+00:00,110 days,1.8018018018018018,9525.8826448,10000.0,77.91495520000001,-4.741173552,-2.241233883600433,-14.76179321881217,5.251654152234829,-14.885469606603785,-2.810884492942157,-2.3882310722998663,-3.113531503731836,-4.730313098414098,0.004845747543516129,-4.741173551999999,-4.741173551999999,105 days,105 days,2,0.0,-2.0128998288798106,-2.014209076410034,-2.013554454831612,0 days,0 days,0.0,-2.0135544526449225,-89.07428057557617,,RSI7LongStrategy_26p,ADAUSDT_f1d
